country,YEAR,ESS_wave,Wgt_median_anti_immig_pos,Wgt_mean_anti_immig_pos
FR,2018,1618_interpolation,3,3.662268528211539
GB,2003,2002,4,4.449882076310493
GB,2004,0204_interpolation,4,4.3525135870726
GB,2005,2004,4,4.255145097834708
GB,2006,0406_interpolation,4,4.401704723300116
GB,2007,2006,4,4.5482643487655245
GB,2008,0608_interpolation,4,4.487212204131331
GB,2009,2008,4,4.426160059497137
GB,2010,0810_interpolation,4,4.518624938481917
GB,2011,2010,4,4.611089817466698
GB,2012,1012_interpolation,4.5,4.636689979127889
GB,2013,2012,5,4.6622901407890796
GB,2014,1214_interpolation,4.5,4.535442040275635
GB,2015,2014,4,4.408593939762191
GB,2016,1416_interpolation,3.5,4.0084221953172925
GB,2017,2016,3,3.608250450872394
GB,2018,1618_interpolation,3,3.475784139155153
GR,2003,2002,6,5.861362217189975
GR,2004,0204_interpolation,6,5.792671295462206
GR,2005,2004,6,5.723980373734437
GR,2006,0406_interpolation,NA,NA
GR,2007,2006,NA,NA
GR,2008,0608_interpolation,NA,NA
GR,2009,2008,6,5.908596612192656
GR,2010,0810_interpolation,6,5.9169059289405945
GR,2011,2010,6,5.925215245688533
GR,2012,1012_interpolation,NA,NA
GR,2013,2012,NA,NA
GR,2014,1214_interpolation,NA,NA
GR,2015,2014,NA,NA
GR,2016,1416_interpolation,NA,NA
GR,2017,2016,NA,NA
GR,2018,1618_interpolation,NA,NA
HR,2003,2002,NA,NA
HR,2004,0204_interpolation,NA,NA
HR,2005,2004,NA,NA
HR,2006,0406_interpolation,NA,NA
HR,2007,2006,NA,NA
HR,2008,0608_interpolation,NA,NA
HR,2009,2008,3,3.975605201366585
HR,2010,0810_interpolation,3,3.898422886300987
HR,2011,2010,3,3.8212405712353887
HR,2012,1012_interpolation,NA,NA
HR,2013,2012,NA,NA
HR,2014,1214_interpolation,NA,NA
HR,2015,2014,NA,NA
HR,2016,1416_interpolation,NA,NA
HR,2017,2016,NA,NA
HR,2018,1618_interpolation,NA,NA
HU,2003,2002,6,5.567622216187552
HU,2004,0204_interpolation,6,5.58146211076346
HU,2005,2004,6,5.595302005339367
HU,2006,0406_interpolation,6,5.7114073584861975
HU,2007,2006,6,5.827512711633028
